ANO;CODIGO_ORGAO_ENTIDADE;SIGLA_ORGAO_ENTIDADE;CNPJ_CPF_CONTRATADO;CONTRATADO;PROCESSO_SEI;LINK_SEI;PROCESSO_COMPRA;NUMERO_SIAFI;INTEGRA_CONTRATO;PORTAL_TRANSPARENCIA;PORTAL_COMPRAS_PROCESSO;DATA_ATUALIZACAO;OBSERVACAO
2020;1500;SEPLAG.;84.951.649/0001-88;JMS INDUSTRIA E COMERCIO - EIRELI ;1500.01.0016168/2020-13;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNWiRF6_FSwzjRMnlEM9NiNXm-l5MrWzddF2V2gXC3Cb9;1501561 000012/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/14-04-2020/1831079/0/0/61932/0/0/0/0/15788/83050019/215076/1752731/321355/1501561000012-2020;;20200414;
2020;1500;SEPLAG.;84.951.649/0001-88;JMS INDUSTRIA E COMERCIO - EIRELI ;1500.01.0016171/2020-29;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNcaVYBqunt2k5aTQouvp-gFObNn6cJy36-Bsa9Ij5gVr;1501561 000013/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/14-04-2020/1831017/0/0/61932/0/0/0/0/15788/83050019/215076/1752731/321345/1501561000013-2020;;20200414;
2020;1500;SEPLAG.;84.951.649/0001-88;JMS INDUSTRIA E COMERCIO - EIRELI ;1500.01.0016170/2020-56;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNVwAL_Jcg1pWb4u8HPiKB8N7JbuPq6BzBiuUi7M8uByy;1501561 000014/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/14-04-2020/1831094/0/0/61932/0/0/0/0/15788/83050019/215076/1752731/321278/1501561000014-2020;;20200414;
2020;1370;SEMAD;04.654.861/0001-44;INDALABOR INDAIA LABORATORIO FARMACEUTICO LTDA;1370.01.0007808/2020-44;;1371056 000003/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/0/2020/01-01-2020/06-04-2020/1831058/15/0/0/80/79/621/7930/21585/79300596/170097/1669486/320876/1371056000003-2020;;-;Registro de Preços
2020;2260;FUNED;13.545.241/0001-68;SINTESE BIOTECNOLOGIA LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-03-2020/16-04-2020/1831100/0/0/20981/0/0/0/0/15383/68101813/131385/394890/322101/2261032000112-2020;;20200417;
2020;2260;FUNED;13.545.241/0001-68;SINTESE BIOTECNOLOGIA LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-03-2020/16-04-2020/1831100/0/0/20981/0/0/0/0/15383/68101813/153265/1497391/322101/2261032000112-2020;;20200417;
2020;2260;FUNED;53.276.010/0001-10;HEXIS CIENTIFICA LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;9245762;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162595;;;20200417;
2020;2260;FUNED;02.661.790/0001-81;SARSTEDT LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;9245763;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162596#1;;;20200417;
2020;2260;FUNED;02.661.790/0001-81;SARSTEDT LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;9245763;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162596;;;20200417;
2020;2260;FUNED;06.003.551/0001-95;QUALIVIDROS DISTRIBUIDORA LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-03-2020/16-04-2020/1831100/0/0/18842/0/0/0/0/18494/68107757/179814/1697730/322101/2261032000112-2020;;20200417;
2020;2260;FUNED;63.067.904/0005-88;LIFE TECHNOLOGIES BRASIL COMERCIO E INDUSTRIA DE PRODUTOS PARA BIOTECNOLOGIA LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-03-2020/16-04-2020/1831100/0/0/18842/0/0/0/0/18494/68107757/179814/1697730/322101/2261032000112-2020;;20200417;
2020;2260;FUNED;68.337.658/0001-27;SIGMA-ALDRICH BRASIL LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-03-2020/16-04-2020/1831100/0/0/15185/0/0/0/0/3001/68108338/96556/1151746/322101/2261032000112-2020;;20200417;
2020;2260;FUNED;06.003.551/0001-95;QUALIVIDROS DISTRIBUIDORA LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-03-2020/16-04-2020/1831100/0/0/20981/0/0/0/0/21239/68500319/137646/1368818/322101/2261032000112-2020;;20200417;
2020;2260;FUNED;13.545.241/0001-68;SINTESE BIOTECNOLOGIA LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-03-2020/16-04-2020/1831100/0/0/20981/0/0/0/0/21239/68500319/137646/1368818/322101/2261032000112-2020;;20200417;
2020;2260;FUNED;11.909.227/0001-70;PROMEGA BIOTECNOLOGIA DO BRASIL LTDA;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-03-2020/16-04-2020/1831100/0/0/18842/0/0/0/0/18494/68107757/179814/1697730/322101/2261032000112-2020;;20200417;
2020;2260;FUNED;21.268.634/0001-08;MULTIPLIER DISTRIBUIDORA EIRELI - EPP;2260.01.0002208/2020-32;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbarB29bkQvChNEKMA_ve_9LVgt62FKlK_lSEvXOBjUC;2261032 000112/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-03-2020/16-04-2020/1831100/0/0/29800/0/0/0/0/21588/68204108/170123/1669613/322101/2261032000112-2020;;20200417;
2020;1250;PMMG;35.820.448/0030-70;WHITE MARTINS GASES INDUSTRIAIS LTDA;1250.01.0002042/2020-09;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNZ70YWeLaAMvr33h4eERTb7bnecvmHxQgkzjkv7QYDRT;0250073 000001/2020;9245761;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162593;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/17-04-2020/1831094/0/0/22102/0/0/0/0/20307/3020037/94372/1198/322109/0250073000001-2020;;20200417;
2020;1250;PMMG;35.820.448/0030-70;WHITE MARTINS GASES INDUSTRIAIS LTDA;1250.01.0002042/2020-09;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNZ70YWeLaAMvr33h4eERTb7bnecvmHxQgkzjkv7QYDRT;0250073 000002/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/17-04-2020/1831094/0/0/22102/0/0/0/0/11108/68300069/89687/1083678/322110/0250073000002-2020;;20200417;
2020;1250;PMMG;35.820.448/0030-70;WHITE MARTINS GASES INDUSTRIAIS LTDA;1250.01.0002042/2020-09;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNZ70YWeLaAMvr33h4eERTb7bnecvmHxQgkzjkv7QYDRT;0250073 000003/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/17-04-2020/1831094/0/0/22102/0/0/0/0/12257/8020442/89502/15725/322505/0250073000003-2020;;20200417;
2020;2310;UNIMONTES;05.075.964/0001-12;CINCO – CONFIANÇA INDÚSTRIA E COMÉRCIO LTDA;2310.01.0005838/2020-70;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNV03QmTiVf8HJrBhgdrdF810-6Ndp2jxC5JEqN8FAdGX;2311076 000134/2020;9245982;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162686;;;20200424;
2020;1250;PMMG;00242692/0001-84;FERRAGENS FAVORITA LTDA - EPP;1250.01.0002112/2020-59;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNd5qM5rtOiR3v4lywf0Vtn_aBdGsWP6aTXrNaElhxpGv;0250073 000004/2020;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;;;20200430;
2020;1250;PMMG;02932175/0001-62;RBARROS EQUIPAMENTOS PROMOCIONAIS EIRELI ;1250.01.0002155/2020-62;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNSWG2x4Wc2BZkigjEIx_he0AZmMG8YVhqBaZEvqq8HKb;0250073 000005/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/30-04-2020/1831094/0/0/11745/0/0/0/0/7051/3010163/94368/1155/323035/0250073000005-2020;;20200430;
2020;1400;CBMMG;15.453.449/0001-82;RESGATECNICA COMERCIO DE EQUIPAMENTOS DE RESGATE EIRELI;1400.01.0017991/2020-09;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbcC_-8cdJJUXlAnhOJAThKQnX8YUq5KYKyJ5r2heywL;1401269 000029/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/05-05-2020/1831009/0/0/23810/0/0/0/0/13074/65300807/159637/1576690/322058/1401269000029-2020;;20200505;
2020;1400;CBMMG;03.928.511/0001-66;S.O.S SUL RESGATE - COMERCIO E SERVICOS DE SEGURANCA E SINALIZACAO LTDA;1400.01.0017991/2020-09;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbcC_-8cdJJUXlAnhOJAThKQnX8YUq5KYKyJ5r2heywL;1401269 000029/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/05-05-2020/1831009/0/0/23810/0/0/0/0/13074/65300807/159637/1576690/322058/1401269000029-2020;;20200505;
2020;1400;CBMMG;20.235.404/0001-71;DCB DISTRIBUIDORA CIRURGICA BRASILEIRA LTDA;1400.01.0017991/2020-09;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbcC_-8cdJJUXlAnhOJAThKQnX8YUq5KYKyJ5r2heywL;1401269 000029/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/05-05-2020/1831009/0/0/23810/0/0/0/0/13074/65300807/159637/1576690/322058/1401269000029-2020;;20200505;
2020;1400;CBMMG;26.729.755/0001-15;FORTE SINAL EQUIPAMENTOS - EIRELI;1400.01.0017991/2020-09;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbcC_-8cdJJUXlAnhOJAThKQnX8YUq5KYKyJ5r2heywL;1401269 000029/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/05-05-2020/1831009/0/0/23810/0/0/0/0/13074/65300807/159637/1576690/322058/1401269000029-2020;;20200505;
2020;1400;CBMMG;21.559.804/0001-03;GERBRA COMERCIO EIRELI - ME;1400.01.0017991/2020-09;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbcC_-8cdJJUXlAnhOJAThKQnX8YUq5KYKyJ5r2heywL;1401269 000029/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/05-05-2020/1831009/0/0/23810/0/0/0/0/13074/65300807/159637/1576690/322058/1401269000029-2020;;20200505;
2020;1250;PMMG;36.279.930/0001-73;M. M. M. Coelho Ltda;1250.01.0002197/2020-92;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNZ4RDZf2aqMM_baKMKhAG540znE_9IPMD0Qv4g2Gqu3K;1250084 000010/2020;9245786;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162617;;;20200507;
2020;2300;DER-MG;03.367.118/0001-40;CONSTRUTORA SNARCO LTDA;2300.01.0048942/2020-33;;2301925 000001/2020;9245674;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162508;;;20200511;
2020;2300;DER-MG;04.764.300/0001-06;EFICIENCIA CONSTRUTORA LTDA;2300.01.0053745/2020-41;;2301925 000002/2020;9245950;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162645;;;20200511;
2020;2320;HEMOMINAS;04.158.618/0001-35;LIMPEZA & BRILHO LTDA - EPP;2320.01.0004287/2020-78;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNdJH-sA_3hgPBGJ42wyKT1LxVuwm-WE3z2iJzf6SLR3I;2320310 000127/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-03-2020/13-05-2020/1831016/0/0/19839/0/0/0/0/21741/85200085/175924/1692143/323219/2320310000127-2020;;20200513;
